Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
5.4336767,V-sg,N-pl,3
1.5465277,V-pl,N-pl,3
6.248002,V-sg,N-pl,3
1.4012171,V-pl,N-pl,3
5.479552,V-sg,N-pl,3
1.3432066,V-pl,N-pl,3
5.9531326,V-sg,N-pl,3
1.3607502,V-pl,N-pl,3
5.855672,V-sg,N-pl,3
1.371443,V-pl,N-pl,3
4.8321548,V-sg,N-pl,3
1.7924038,V-pl,N-pl,3
5.1775737,V-sg,N-pl,3
1.3464277,V-pl,N-pl,3
5.394867,V-sg,N-pl,3
1.3482718,V-pl,N-pl,3
5.6469235,V-sg,N-pl,3
1.3877633,V-pl,N-pl,3
5.1197696,V-sg,N-pl,3
1.5271977,V-pl,N-pl,3
1.5507257,V-sg,N-sg,3
7.5859904,V-pl,N-sg,3
1.5568807,V-sg,N-sg,3
7.202953,V-pl,N-sg,3
1.506159,V-sg,N-sg,3
7.563779,V-pl,N-sg,3
1.4895158,V-sg,N-sg,3
7.252008,V-pl,N-sg,3
1.4920707,V-sg,N-sg,3
7.119167,V-pl,N-sg,3
1.49615,V-sg,N-sg,3
7.075906,V-pl,N-sg,3
1.4657503,V-sg,N-sg,3
7.224489,V-pl,N-sg,3
1.5374454,V-sg,N-sg,3
7.0749235,V-pl,N-sg,3
1.6006982,V-sg,N-sg,3
7.359459,V-pl,N-sg,3
1.351755,V-sg,N-sg,3
7.3311048,V-pl,N-sg,3
1.6791859,V-sg,N-sg,3
6.991078,V-pl,N-sg,3
1.4910064,V-sg,N-sg,3
7.366297,V-pl,N-sg,3
1.4474915,V-sg,N-sg,3
7.5860558,V-pl,N-sg,3
1.6151042,V-sg,N-sg,3
7.062986,V-pl,N-sg,3
1.5659647,V-sg,N-sg,3
7.7474227,V-pl,N-sg,3
1.7347939,V-sg,N-sg,3
7.08893,V-pl,N-sg,3
1.558625,V-sg,N-sg,3
7.512824,V-pl,N-sg,3
1.5146389,V-sg,N-sg,3
6.9729776,V-pl,N-sg,3
1.5917029,V-sg,N-sg,3
7.376902,V-pl,N-sg,3
1.6160578,V-sg,N-sg,3
7.0009584,V-pl,N-sg,3
4.988491,V-sg,N-pl,4
3.2260458,V-pl,N-pl,4
4.9104652,V-sg,N-pl,4
3.4588766,V-pl,N-pl,4
4.6980386,V-sg,N-pl,4
2.4407897,V-pl,N-pl,4
4.416141,V-sg,N-pl,4
3.207034,V-pl,N-pl,4
5.081529,V-sg,N-pl,4
2.940568,V-pl,N-pl,4
5.0064607,V-sg,N-pl,4
2.7936797,V-pl,N-pl,4
4.324781,V-sg,N-pl,4
3.0063977,V-pl,N-pl,4
4.8921223,V-sg,N-pl,4
2.8864686,V-pl,N-pl,4
4.381606,V-sg,N-pl,4
2.6590495,V-pl,N-pl,4
4.1030574,V-sg,N-pl,4
2.474434,V-pl,N-pl,4
4.796332,V-sg,N-pl,4
