SentenceID, Surprisal, Condition, EmbeddingLevel
6,7.494483,nwh-gap,1
7,7.707562,nwh-gap,1
8,8.447243,nwh-gap,1
9,7.8329406,nwh-gap,1
10,8.484539,nwh-gap,1
1,8.826593,wh-ngap,2
2,8.855447,wh-ngap,2
3,8.257908,wh-ngap,2
4,8.499021,wh-ngap,2
5,9.131408,wh-ngap,2
6,8.400531,wh-ngap,2
7,9.310134,wh-ngap,2
8,9.057658,wh-ngap,2
9,8.090496,wh-ngap,2
10,7.866713,wh-ngap,2
1,8.687327,wh-gap,2
2,9.084935,wh-gap,2
3,8.425426,wh-gap,2
4,8.506036,wh-gap,2
5,9.010411,wh-gap,2
6,8.420564,wh-gap,2
7,9.450281,wh-gap,2
8,9.368733,wh-gap,2
9,8.1504545,wh-gap,2
10,8.1154375,wh-gap,2
1,7.987513,nwh-ngap,2
2,8.398353,nwh-ngap,2
3,7.896953,nwh-ngap,2
4,8.455675,nwh-ngap,2
5,8.613211,nwh-ngap,2
6,7.905568,nwh-ngap,2
7,8.798243,nwh-ngap,2
8,8.721976,nwh-ngap,2
9,7.822716,nwh-ngap,2
10,6.8811603,nwh-ngap,2
1,8.203168,nwh-gap,2
2,7.5654745,nwh-gap,2
3,7.6476755,nwh-gap,2
4,8.675419,nwh-gap,2
5,7.843075,nwh-gap,2
6,7.289457,nwh-gap,2
7,8.414631,nwh-gap,2
8,8.369259,nwh-gap,2
9,7.2113104,nwh-gap,2
10,7.1034946,nwh-gap,2
1,8.870735,wh-ngap,3
2,8.7965975,wh-ngap,3
3,8.498517,wh-ngap,3
4,8.636732,wh-ngap,3
5,9.014396,wh-ngap,3
6,8.380827,wh-ngap,3
7,9.2595825,wh-ngap,3
8,8.689802,wh-ngap,3
9,8.335487,wh-ngap,3
10,8.341997,wh-ngap,3
1,8.422903,wh-gap,3
2,8.916484,wh-gap,3
3,8.58783,wh-gap,3
4,8.778526,wh-gap,3
5,8.933471,wh-gap,3
6,8.501368,wh-gap,3
7,9.294132,wh-gap,3
8,9.1655035,wh-gap,3
9,8.660232,wh-gap,3
10,8.5089,wh-gap,3
1,8.243658,nwh-ngap,3
2,8.557656,nwh-ngap,3
3,8.056246,nwh-ngap,3
4,8.676669,nwh-ngap,3
5,9.092479,nwh-ngap,3
6,8.033091,nwh-ngap,3
7,8.825504,nwh-ngap,3
8,8.713886,nwh-ngap,3
9,8.531152,nwh-ngap,3
10,7.7965674,nwh-ngap,3
1,8.305836,nwh-gap,3
2,7.4708858,nwh-gap,3
3,7.717723,nwh-gap,3
4,8.520906,nwh-gap,3
5,8.192044,nwh-gap,3
6,7.6922617,nwh-gap,3
7,8.51322,nwh-gap,3
8,8.471692,nwh-gap,3
9,7.8617125,nwh-gap,3
10,7.804303,nwh-gap,3
1,8.920652,wh-ngap,4
2,8.937628,wh-ngap,4
3,8.430524,wh-ngap,4
4,8.903217,wh-ngap,4
5,8.953081,wh-ngap,4
6,8.341597,wh-ngap,4
7,8.368053,wh-ngap,4
8,8.70733,wh-ngap,4
9,7.4748163,wh-ngap,4
10,8.211134,wh-ngap,4
1,8.87258,wh-gap,4
2,9.046743,wh-gap,4
3,8.435549,wh-gap,4
4,9.099788,wh-gap,4
5,8.525809,wh-gap,4
6,8.2383,wh-gap,4
7,8.930407,wh-gap,4
8,9.1747465,wh-gap,4
9,8.062161,wh-gap,4
10,8.491336,wh-gap,4
1,8.793122,nwh-ngap,4
2,8.637579,nwh-ngap,4
3,8.290386,nwh-ngap,4
4,8.685377,nwh-ngap,4
5,9.177781,nwh-ngap,4
6,8.117499,nwh-ngap,4
7,9.036617,nwh-ngap,4
8,8.85844,nwh-ngap,4
9,8.485758,nwh-ngap,4
10,7.661161,nwh-ngap,4
1,8.665598,nwh-gap,4
2,7.5514374,nwh-gap,4
3,8.057492,nwh-gap,4
4,8.541336,nwh-gap,4
5,8.241504,nwh-gap,4
6,7.5045223,nwh-gap,4
7,8.720167,nwh-gap,4
8,8.668667,nwh-gap,4
9,8.046059,nwh-gap,4
10,7.9163857,nwh-gap,4
