SentenceID, Surprisal, Condition, EmbeddingLevel
9,16.438995,nwh-gap,1
10,16.309803,nwh-gap,1
1,15.338987,wh-ngap,2
2,15.375526,wh-ngap,2
3,15.596056,wh-ngap,2
4,15.643384,wh-ngap,2
5,15.542872,wh-ngap,2
6,15.141918,wh-ngap,2
7,15.7758,wh-ngap,2
8,15.39027,wh-ngap,2
9,16.109293,wh-ngap,2
10,15.637321,wh-ngap,2
1,15.474195,wh-gap,2
2,15.542826,wh-gap,2
3,15.821614,wh-gap,2
4,15.971108,wh-gap,2
5,15.516768,wh-gap,2
6,15.302436,wh-gap,2
7,15.649871,wh-gap,2
8,15.567363,wh-gap,2
9,16.354153,wh-gap,2
10,15.751291,wh-gap,2
1,16.08043,nwh-ngap,2
2,16.169062,nwh-ngap,2
3,16.328163,nwh-ngap,2
4,16.415531,nwh-ngap,2
5,16.419361,nwh-ngap,2
6,16.129774,nwh-ngap,2
7,16.651186,nwh-ngap,2
8,15.999494,nwh-ngap,2
9,16.326494,nwh-ngap,2
10,15.990095,nwh-ngap,2
1,16.199455,nwh-gap,2
2,16.153091,nwh-gap,2
3,16.323715,nwh-gap,2
4,16.253944,nwh-gap,2
5,16.197939,nwh-gap,2
6,16.393246,nwh-gap,2
7,16.659655,nwh-gap,2
8,15.743397,nwh-gap,2
9,16.429596,nwh-gap,2
10,15.855118,nwh-gap,2
1,15.607573,wh-ngap,3
2,15.531346,wh-ngap,3
3,15.634036,wh-ngap,3
4,15.6052685,wh-ngap,3
5,15.266842,wh-ngap,3
6,15.614932,wh-ngap,3
7,15.257373,wh-ngap,3
8,15.254099,wh-ngap,3
9,15.939619,wh-ngap,3
10,15.947847,wh-ngap,3
1,15.962689,wh-gap,3
2,15.519314,wh-gap,3
3,15.531754,wh-gap,3
4,14.963191,wh-gap,3
5,15.318626,wh-gap,3
6,15.823541,wh-gap,3
7,15.056095,wh-gap,3
8,15.030882,wh-gap,3
9,15.818986,wh-gap,3
10,15.723178,wh-gap,3
1,15.995094,nwh-ngap,3
2,15.867658,nwh-ngap,3
3,16.125908,nwh-ngap,3
4,15.720301,nwh-ngap,3
5,15.996868,nwh-ngap,3
6,15.97718,nwh-ngap,3
7,15.269286,nwh-ngap,3
8,15.559999,nwh-ngap,3
9,16.66647,nwh-ngap,3
10,16.514622,nwh-ngap,3
1,16.240622,nwh-gap,3
2,15.876074,nwh-gap,3
3,16.500832,nwh-gap,3
4,16.08,nwh-gap,3
5,16.084625,nwh-gap,3
6,16.086842,nwh-gap,3
7,15.794614,nwh-gap,3
8,15.794036,nwh-gap,3
9,17.039198,nwh-gap,3
10,16.417477,nwh-gap,3
1,15.855579,wh-ngap,4
2,15.771076,wh-ngap,4
3,15.358124,wh-ngap,4
4,15.891524,wh-ngap,4
5,15.47276,wh-ngap,4
6,15.873157,wh-ngap,4
7,14.777441,wh-ngap,4
8,15.798813,wh-ngap,4
9,15.577304,wh-ngap,4
10,16.085146,wh-ngap,4
1,15.809812,wh-gap,4
2,15.762174,wh-gap,4
3,15.651121,wh-gap,4
4,15.4351635,wh-gap,4
5,15.402965,wh-gap,4
6,15.745316,wh-gap,4
7,15.18542,wh-gap,4
8,15.756532,wh-gap,4
9,15.48165,wh-gap,4
10,16.011492,wh-gap,4
1,16.088457,nwh-ngap,4
2,15.567411,nwh-ngap,4
3,15.880186,nwh-ngap,4
4,15.760065,nwh-ngap,4
5,15.7989645,nwh-ngap,4
6,15.874857,nwh-ngap,4
7,15.566036,nwh-ngap,4
8,15.712057,nwh-ngap,4
9,16.367577,nwh-ngap,4
10,16.275091,nwh-ngap,4
1,16.001755,nwh-gap,4
2,15.566978,nwh-gap,4
3,16.130564,nwh-gap,4
4,15.542427,nwh-gap,4
5,15.7410555,nwh-gap,4
6,15.941241,nwh-gap,4
7,15.662667,nwh-gap,4
8,15.816094,nwh-gap,4
9,16.477657,nwh-gap,4
10,16.171171,nwh-gap,4
