SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
7,them,8.262267e-06,16.88503,wh-ngap,4
8,at,0.8751222,0.19244362,wh-ngap,4
9,at,0.7810563,0.35650158,wh-ngap,4
10,at,0.6858221,0.5440936,wh-ngap,4
1,at,0.93756086,0.09301575,wh-gap,4
2,at,0.34034947,1.5549113,wh-gap,4
3,at,0.90972227,0.13650192,wh-gap,4
4,at,0.92961246,0.10529869,wh-gap,4
5,at,0.91551113,0.12735067,wh-gap,4
6,at,0.7918959,0.33661726,wh-gap,4
7,at,0.40757594,1.2948592,wh-gap,4
8,at,0.7629638,0.39031354,wh-gap,4
9,at,0.8133797,0.2979991,wh-gap,4
10,at,0.46934074,1.0912924,wh-gap,4
1,at,0.91806763,0.12332765,nwh-ngap,4
2,at,0.3521849,1.5055951,nwh-ngap,4
3,at,0.9555848,0.06554415,nwh-ngap,4
4,at,0.8920574,0.16479152,nwh-ngap,4
5,at,0.89384466,0.16190396,nwh-ngap,4
6,at,0.37626827,1.4101665,nwh-ngap,4
7,at,0.56884557,0.81389105,nwh-ngap,4
8,at,0.7651988,0.38609344,nwh-ngap,4
9,at,0.5925069,0.7550962,nwh-ngap,4
10,at,0.49702382,1.0086131,nwh-ngap,4
1,at,0.32682425,1.6134131,nwh-gap,4
2,at,0.007855545,6.992073,nwh-gap,4
3,at,0.5340536,0.90494347,nwh-gap,4
4,at,0.6609957,0.5972872,nwh-gap,4
5,at,0.3145345,1.6687099,nwh-gap,4
6,at,0.07804175,3.67961,nwh-gap,4
7,at,0.16591011,2.5915263,nwh-gap,4
8,at,0.007783152,7.0054297,nwh-gap,4
9,at,0.039207365,4.6727314,nwh-gap,4
10,at,0.023582214,5.406157,nwh-gap,4
1,at,0.4857699,1.0416551,wh-ngap,1
2,at,0.3253425,1.6199688,wh-ngap,1
3,at,0.62498647,0.67810315,wh-ngap,1
4,at,0.1955544,2.354358,wh-ngap,1
5,at,0.49859682,1.0040544,wh-ngap,1
6,at,0.50446707,0.987168,wh-ngap,1
7,at,0.63136595,0.6634516,wh-ngap,1
8,at,0.6951974,0.5245054,wh-ngap,1
9,at,0.000112147485,13.122315,wh-ngap,1
10,at,0.615243,0.7007717,wh-ngap,1
1,at,0.66556084,0.5873575,wh-gap,1
2,at,0.44510245,1.1677907,wh-gap,1
3,at,0.7935902,0.3335339,wh-gap,1
4,at,0.60005265,0.736839,wh-gap,1
5,at,0.6544199,0.6117115,wh-gap,1
6,at,0.645069,0.6324746,wh-gap,1
7,at,0.0642752,3.959594,wh-gap,1
8,at,0.6107988,0.71123093,wh-gap,1
9,at,4.933613e-05,14.306996,wh-gap,1
10,at,0.04022996,4.635586,wh-gap,1
1,at,0.36485532,1.4546037,nwh-ngap,1
2,at,0.11789881,3.084379,nwh-ngap,1
3,at,0.5684175,0.81497717,nwh-ngap,1
4,at,0.34838244,1.5212562,nwh-ngap,1
5,at,0.3030333,1.7224518,nwh-ngap,1
6,at,0.50805897,0.97693217,nwh-ngap,1
7,at,0.4760897,1.0706947,nwh-ngap,1
8,at,0.4085659,1.2913593,nwh-ngap,1
9,at,5.471285e-06,17.479689,nwh-ngap,1
10,at,0.060740847,4.041189,nwh-ngap,1
1,at,0.0554412,4.172898,nwh-gap,1
2,at,0.0082645435,6.918849,nwh-gap,1
3,at,0.06185719,4.014915,nwh-gap,1
4,at,0.12161486,3.0396085,nwh-gap,1
5,at,0.03850573,4.698783,nwh-gap,1
6,at,0.0024232108,8.688865,nwh-gap,1
7,at,0.1075417,3.217032,nwh-gap,1
8,at,0.0028567484,8.45141,nwh-gap,1
9,at,4.591505e-05,14.410673,nwh-gap,1
10,at,0.0048655113,7.6831927,nwh-gap,1
1,at,0.25343055,1.9803376,wh-ngap,2
2,at,0.27133977,1.8818276,wh-ngap,2
3,at,0.41438496,1.2709565,wh-ngap,2
4,at,0.25928366,1.9473968,wh-ngap,2
5,at,0.03654435,4.774208,wh-ngap,2
6,at,0.41029242,1.2852756,wh-ngap,2
7,at,0.19235113,2.3781857,wh-ngap,2
8,at,0.5843235,0.77516073,wh-ngap,2
9,at,0.35642067,1.488347,wh-ngap,2
10,at,0.22107393,2.1773992,wh-ngap,2
1,at,0.3074636,1.7015126,wh-gap,2
2,at,0.4247602,1.2352796,wh-gap,2
3,at,0.45998603,1.1203381,wh-gap,2
4,at,0.38114053,1.391605,wh-gap,2
5,at,0.0020787567,8.910064,wh-gap,2
6,at,0.44159478,1.179205,wh-gap,2
7,at,0.32069236,1.6407381,wh-gap,2
8,at,0.75374633,0.407849,wh-gap,2
9,at,0.5395876,0.89007086,wh-gap,2
10,at,0.2049145,2.286906,wh-gap,2
1,at,0.18753035,2.414804,nwh-ngap,2
2,at,0.18634729,2.4239342,nwh-ngap,2
3,at,0.38067347,1.3933741,nwh-ngap,2
4,at,0.32357228,1.62784,nwh-ngap,2
5,at,0.123382844,3.0187862,nwh-ngap,2
6,at,0.22529736,2.1500976,nwh-ngap,2
7,at,0.19088936,2.3891914,nwh-ngap,2
8,at,0.36126992,1.468851,nwh-ngap,2
9,at,0.27994806,1.836769,nwh-ngap,2
10,at,0.1259195,2.9894264,nwh-ngap,2
1,at,0.23784725,2.0718927,nwh-gap,2
2,at,0.0028441087,8.457808,nwh-gap,2
3,at,0.3072058,1.7027227,nwh-gap,2
4,at,0.0018868181,9.049829,nwh-gap,2
5,at,0.04177042,4.5813746,nwh-gap,2
6,at,0.0028703236,8.444571,nwh-gap,2
7,at,0.23048156,2.1172767,nwh-gap,2
8,at,0.082393296,3.6013293,nwh-gap,2
9,at,0.09276064,3.4303434,nwh-gap,2
10,at,0.00029782442,11.71325,nwh-gap,2
1,at,0.20014678,2.3208697,wh-ngap,3
2,at,0.29612836,1.7557054,wh-ngap,3
3,at,0.37054667,1.4322729,wh-ngap,3
4,at,0.2959368,1.756639,wh-ngap,3
5,at,0.07799473,3.6804795,wh-ngap,3
6,at,0.39918372,1.3248752,wh-ngap,3
7,at,0.18844359,2.4077954,wh-ngap,3
8,at,0.61480314,0.70180357,wh-ngap,3
9,at,0.43306488,1.2073449,wh-ngap,3
10,at,0.27606642,1.8569126,wh-ngap,3
1,at,0.31725523,1.6562841,wh-gap,3
2,at,0.42060438,1.2494643,wh-gap,3
3,at,0.4019037,1.3150783,wh-gap,3
4,at,0.36634395,1.4487293,wh-gap,3
5,at,0.006893026,7.180647,wh-gap,3
6,at,0.485169,1.0434407,wh-gap,3
7,at,0.21593514,2.21133,wh-gap,3
8,at,0.73931456,0.4357398,wh-gap,3
9,at,0.5521141,0.8569616,wh-gap,3
10,at,0.21510133,2.2169116,wh-gap,3
1,at,0.18834741,2.408532,nwh-ngap,3
2,at,0.2494303,2.0032914,nwh-ngap,3
3,at,0.38016796,1.3952911,nwh-ngap,3
4,at,0.30403343,1.7176981,nwh-ngap,3
5,at,0.15549001,2.6851063,nwh-ngap,3
6,at,0.2536686,1.9789832,nwh-ngap,3
7,at,0.18741715,2.4156752,nwh-ngap,3
8,at,0.48569566,1.0418755,nwh-ngap,3
9,at,0.2567464,1.961584,nwh-ngap,3
10,at,0.23727651,2.0753589,nwh-ngap,3
1,at,0.19287987,2.3742256,nwh-gap,3
2,at,0.0011560608,9.756567,nwh-gap,3
3,at,0.31529683,1.6652174,nwh-gap,3
4,at,0.002459679,8.667315,nwh-gap,3
5,at,0.021345858,5.5499,nwh-gap,3
6,at,0.0038461236,8.022379,nwh-gap,3
7,at,0.29802188,1.7465098,nwh-gap,3
8,at,0.047693398,4.3900666,nwh-gap,3
9,at,0.17018329,2.5548387,nwh-gap,3
10,at,0.019670473,5.6678247,nwh-gap,3
1,at,0.31682238,1.6582539,wh-ngap,4
2,at,0.34551102,1.5331963,wh-ngap,4
3,at,0.40468684,1.3051221,wh-ngap,4
4,at,0.36445215,1.4561987,wh-ngap,4
5,at,0.18837707,2.4083047,wh-ngap,4
6,at,0.40404376,1.3074166,wh-ngap,4
7,them,2.1239055e-06,18.844849,wh-ngap,4
8,at,0.6756801,0.56558776,wh-ngap,4
9,at,0.50379986,0.9890774,wh-ngap,4
10,at,0.30528566,1.7117683,wh-ngap,4
1,at,0.35294652,1.5024785,wh-gap,4
2,at,0.40989545,1.2866721,wh-gap,4
3,at,0.37174702,1.4276069,wh-gap,4
4,at,0.038311634,4.7060738,wh-gap,4
5,at,0.09915737,3.3341362,wh-gap,4
6,at,0.44712895,1.1612371,wh-gap,4
7,at,0.3228502,1.6310632,wh-gap,4
8,at,0.71280247,0.48842576,wh-gap,4
9,at,0.6056348,0.72348,wh-gap,4
10,at,0.23707847,2.0765634,wh-gap,4
1,at,0.25586915,1.9665219,nwh-ngap,4
2,at,0.28599438,1.8059413,nwh-ngap,4
3,at,0.4542761,1.1383586,nwh-ngap,4
4,at,0.319558,1.6458503,nwh-ngap,4
5,at,0.14878552,2.748694,nwh-ngap,4
6,at,0.3869774,1.3696787,nwh-ngap,4
7,at,0.2813193,1.8297197,nwh-ngap,4
8,at,0.5226079,0.93619907,nwh-ngap,4
9,at,0.37550423,1.4130989,nwh-ngap,4
10,at,0.28315067,1.8203582,nwh-ngap,4
1,at,0.21670356,2.2062051,nwh-gap,4
2,at,0.0025802974,8.598247,nwh-gap,4
3,at,0.33388343,1.5825835,nwh-gap,4
4,at,0.0031575891,8.306961,nwh-gap,4
5,at,0.045531143,4.4570026,nwh-gap,4
6,at,0.0036008784,8.117435,nwh-gap,4
7,at,0.28739432,1.7988966,nwh-gap,4
8,at,0.06273304,3.9946308,nwh-gap,4
9,at,0.30322987,1.7215163,nwh-gap,4
10,at,0.06424515,3.9602687,nwh-gap,4
