Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
10.113008,V-sg,N-pl,3
9.946502,V-pl,N-pl,3
10.090547,V-sg,N-pl,3
10.084332,V-pl,N-pl,3
10.161253,V-sg,N-pl,3
10.038526,V-pl,N-pl,3
10.142214,V-sg,N-pl,3
10.07682,V-pl,N-pl,3
10.107212,V-sg,N-pl,3
10.019867,V-pl,N-pl,3
10.12826,V-sg,N-pl,3
9.991189,V-pl,N-pl,3
10.11218,V-sg,N-pl,3
10.010346,V-pl,N-pl,3
10.088789,V-sg,N-sg,3
10.079059,V-pl,N-sg,3
10.136182,V-sg,N-sg,3
10.101801,V-pl,N-sg,3
10.135352,V-sg,N-sg,3
10.061366,V-pl,N-sg,3
10.141508,V-sg,N-sg,3
9.987463,V-pl,N-sg,3
10.083516,V-sg,N-sg,3
10.021136,V-pl,N-sg,3
10.1254225,V-sg,N-sg,3
10.021112,V-pl,N-sg,3
10.111374,V-sg,N-sg,3
10.016525,V-pl,N-sg,3
10.124998,V-sg,N-sg,3
10.055155,V-pl,N-sg,3
10.080608,V-sg,N-sg,3
10.001218,V-pl,N-sg,3
10.119117,V-sg,N-sg,3
10.0268755,V-pl,N-sg,3
10.1549425,V-sg,N-sg,3
10.0042095,V-pl,N-sg,3
10.109395,V-sg,N-sg,3
9.993277,V-pl,N-sg,3
10.097419,V-sg,N-sg,3
10.043129,V-pl,N-sg,3
10.118998,V-sg,N-sg,3
10.014603,V-pl,N-sg,3
10.0998955,V-sg,N-sg,3
10.053885,V-pl,N-sg,3
10.173615,V-sg,N-sg,3
10.005638,V-pl,N-sg,3
10.150014,V-sg,N-sg,3
10.050333,V-pl,N-sg,3
10.101554,V-sg,N-sg,3
10.0344305,V-pl,N-sg,3
10.12535,V-sg,N-sg,3
9.993508,V-pl,N-sg,3
10.107538,V-sg,N-sg,3
10.028327,V-pl,N-sg,3
10.043645,V-sg,N-pl,4
10.105388,V-pl,N-pl,4
10.063551,V-sg,N-pl,4
10.0637865,V-pl,N-pl,4
10.052031,V-sg,N-pl,4
10.032146,V-pl,N-pl,4
10.04168,V-sg,N-pl,4
10.026829,V-pl,N-pl,4
10.048283,V-sg,N-pl,4
10.05836,V-pl,N-pl,4
10.076123,V-sg,N-pl,4
10.004535,V-pl,N-pl,4
10.089094,V-sg,N-pl,4
9.994192,V-pl,N-pl,4
10.075354,V-sg,N-pl,4
9.976801,V-pl,N-pl,4
10.055162,V-sg,N-pl,4
9.985216,V-pl,N-pl,4
10.066322,V-sg,N-pl,4
10.016768,V-pl,N-pl,4
10.099121,V-sg,N-pl,4
10.015085,V-pl,N-pl,4
10.072444,V-sg,N-pl,4
9.965906,V-pl,N-pl,4
10.059872,V-sg,N-pl,4
10.041571,V-pl,N-pl,4
10.043426,V-sg,N-pl,4
9.984327,V-pl,N-pl,4
10.018646,V-sg,N-pl,4
10.110766,V-pl,N-pl,4
10.098227,V-sg,N-pl,4
10.071778,V-pl,N-pl,4
10.071517,V-sg,N-pl,4
10.017093,V-pl,N-pl,4
10.072742,V-sg,N-pl,4
9.985274,V-pl,N-pl,4
10.050474,V-sg,N-pl,4
10.085195,V-pl,N-pl,4
10.06754,V-sg,N-pl,4
10.080791,V-pl,N-pl,4
10.023,V-sg,N-sg,4
10.142077,V-pl,N-sg,4
10.070997,V-sg,N-sg,4
10.095832,V-pl,N-sg,4
10.055947,V-sg,N-sg,4
10.066218,V-pl,N-sg,4
10.072177,V-sg,N-sg,4
10.038336,V-pl,N-sg,4
10.032276,V-sg,N-sg,4
10.101018,V-pl,N-sg,4
