SentenceID, Surprisal, Condition, EmbeddingLevel
9,16.23721,nwh-gap,1
10,16.651274,nwh-gap,1
1,16.850742,wh-ngap,2
2,16.922346,wh-ngap,2
3,16.565832,wh-ngap,2
4,17.082344,wh-ngap,2
5,16.487198,wh-ngap,2
6,16.79268,wh-ngap,2
7,17.028725,wh-ngap,2
8,17.040956,wh-ngap,2
9,17.020107,wh-ngap,2
10,17.615559,wh-ngap,2
1,16.820751,wh-gap,2
2,17.056847,wh-gap,2
3,16.775354,wh-gap,2
4,17.116653,wh-gap,2
5,16.471375,wh-gap,2
6,16.69811,wh-gap,2
7,16.8214,wh-gap,2
8,17.067846,wh-gap,2
9,16.586037,wh-gap,2
10,17.523354,wh-gap,2
1,16.678911,nwh-ngap,2
2,16.596731,nwh-ngap,2
3,16.498407,nwh-ngap,2
4,16.799679,nwh-ngap,2
5,16.372751,nwh-ngap,2
6,16.67491,nwh-ngap,2
7,16.776325,nwh-ngap,2
8,16.830015,nwh-ngap,2
9,16.587645,nwh-ngap,2
10,17.012218,nwh-ngap,2
1,16.750206,nwh-gap,2
2,16.913355,nwh-gap,2
3,16.710533,nwh-gap,2
4,17.110817,nwh-gap,2
5,16.618065,nwh-gap,2
6,16.743206,nwh-gap,2
7,16.641222,nwh-gap,2
8,17.149675,nwh-gap,2
9,16.367687,nwh-gap,2
10,17.076656,nwh-gap,2
1,17.002829,wh-ngap,3
2,17.189598,wh-ngap,3
3,17.459667,wh-ngap,3
4,17.550146,wh-ngap,3
5,16.959473,wh-ngap,3
6,17.25498,wh-ngap,3
7,17.308105,wh-ngap,3
8,17.554144,wh-ngap,3
9,17.11247,wh-ngap,3
10,17.55885,wh-ngap,3
1,16.809296,wh-gap,3
2,17.151518,wh-gap,3
3,17.355518,wh-gap,3
4,17.159151,wh-gap,3
5,16.643763,wh-gap,3
6,16.906006,wh-gap,3
7,17.211988,wh-gap,3
8,16.9694,wh-gap,3
9,16.849874,wh-gap,3
10,17.175737,wh-gap,3
1,16.908134,nwh-ngap,3
2,16.862726,nwh-ngap,3
3,17.402863,nwh-ngap,3
4,17.413912,nwh-ngap,3
5,16.986675,nwh-ngap,3
6,17.180777,nwh-ngap,3
7,17.155523,nwh-ngap,3
8,17.387815,nwh-ngap,3
9,16.808912,nwh-ngap,3
10,17.402859,nwh-ngap,3
1,16.751764,nwh-gap,3
2,16.965202,nwh-gap,3
3,17.375591,nwh-gap,3
4,17.090487,nwh-gap,3
5,16.73148,nwh-gap,3
6,16.891495,nwh-gap,3
7,17.089943,nwh-gap,3
8,16.958448,nwh-gap,3
9,16.810957,nwh-gap,3
10,17.06276,nwh-gap,3
1,17.244406,wh-ngap,4
2,17.482698,wh-ngap,4
3,17.409796,wh-ngap,4
4,17.416578,wh-ngap,4
5,17.274889,wh-ngap,4
6,17.241343,wh-ngap,4
7,17.371847,wh-ngap,4
8,17.344952,wh-ngap,4
9,17.463871,wh-ngap,4
10,17.713047,wh-ngap,4
1,17.045038,wh-gap,4
2,17.09614,wh-gap,4
3,17.429564,wh-gap,4
4,17.192469,wh-gap,4
5,16.842276,wh-gap,4
6,16.934776,wh-gap,4
7,16.932693,wh-gap,4
8,16.975744,wh-gap,4
9,17.173992,wh-gap,4
10,17.28812,wh-gap,4
1,17.087013,nwh-ngap,4
2,17.158295,nwh-ngap,4
3,17.252304,nwh-ngap,4
4,17.34188,nwh-ngap,4
5,17.126965,nwh-ngap,4
6,17.089182,nwh-ngap,4
7,17.095345,nwh-ngap,4
8,17.31148,nwh-ngap,4
9,17.192825,nwh-ngap,4
10,17.590725,nwh-ngap,4
1,17.04264,nwh-gap,4
2,16.948172,nwh-gap,4
3,17.263004,nwh-gap,4
4,17.209259,nwh-gap,4
5,16.733936,nwh-gap,4
6,16.942844,nwh-gap,4
7,16.75867,nwh-gap,4
8,17.012753,nwh-gap,4
9,16.926416,nwh-gap,4
10,17.038183,nwh-gap,4
