SentenceID, Surprisal, Condition, EmbeddingLevel
5,12.973515,nwh-gap,1
6,12.533433,nwh-gap,1
7,13.295755,nwh-gap,1
8,11.537809,nwh-gap,1
9,12.775557,nwh-gap,1
10,14.069125,nwh-gap,1
1,10.548148,wh-ngap,2
2,7.268498,wh-ngap,2
3,8.286346,wh-ngap,2
4,10.465612,wh-ngap,2
5,13.763275,wh-ngap,2
6,7.1139283,wh-ngap,2
7,10.660012,wh-ngap,2
8,8.2510195,wh-ngap,2
9,7.4773507,wh-ngap,2
10,8.7778,wh-ngap,2
1,7.9392023,wh-gap,2
2,7.867316,wh-gap,2
3,7.087604,wh-gap,2
4,7.0283012,wh-gap,2
5,13.161475,wh-gap,2
6,6.9597435,wh-gap,2
7,8.316486,wh-gap,2
8,7.652929,wh-gap,2
9,11.816252,wh-gap,2
10,7.1157002,wh-gap,2
1,7.1614466,nwh-ngap,2
2,7.2388544,nwh-ngap,2
3,6.408775,nwh-ngap,2
4,7.6567135,nwh-ngap,2
5,10.92726,nwh-ngap,2
6,5.8160005,nwh-ngap,2
7,7.6769714,nwh-ngap,2
8,7.1645355,nwh-ngap,2
9,5.8272166,nwh-ngap,2
10,6.2283134,nwh-ngap,2
1,13.415445,nwh-gap,2
2,12.527292,nwh-gap,2
3,12.441082,nwh-gap,2
4,10.478522,nwh-gap,2
5,12.956788,nwh-gap,2
6,12.113649,nwh-gap,2
7,13.981528,nwh-gap,2
8,12.557506,nwh-gap,2
9,12.278412,nwh-gap,2
10,13.854863,nwh-gap,2
1,10.186066,wh-ngap,3
2,7.607096,wh-ngap,3
3,8.78718,wh-ngap,3
4,10.2883415,wh-ngap,3
5,13.593044,wh-ngap,3
6,7.7139835,wh-ngap,3
7,10.080492,wh-ngap,3
8,8.541617,wh-ngap,3
9,7.5354333,wh-ngap,3
10,8.401121,wh-ngap,3
1,8.15009,wh-gap,3
2,8.097052,wh-gap,3
3,7.724238,wh-gap,3
4,7.624968,wh-gap,3
5,12.370655,wh-gap,3
6,7.5061326,wh-gap,3
7,8.544336,wh-gap,3
8,9.404507,wh-gap,3
9,12.342548,wh-gap,3
10,8.2867985,wh-gap,3
1,7.3631573,nwh-ngap,3
2,7.3506956,nwh-ngap,3
3,6.822572,nwh-ngap,3
4,7.8393135,nwh-ngap,3
5,11.609156,nwh-ngap,3
6,6.081593,nwh-ngap,3
7,8.318349,nwh-ngap,3
8,8.1127,nwh-ngap,3
9,6.5779996,nwh-ngap,3
10,6.684954,nwh-ngap,3
1,13.657624,nwh-gap,3
2,12.453349,nwh-gap,3
3,13.139933,nwh-gap,3
4,10.514151,nwh-gap,3
5,13.149662,nwh-gap,3
6,11.958153,nwh-gap,3
7,13.789473,nwh-gap,3
8,13.38799,nwh-gap,3
9,11.838809,nwh-gap,3
10,13.5082445,nwh-gap,3
1,9.374108,wh-ngap,4
2,7.706414,wh-ngap,4
3,8.744198,wh-ngap,4
4,8.678658,wh-ngap,4
5,13.589646,wh-ngap,4
6,7.799362,wh-ngap,4
7,9.678905,wh-ngap,4
8,8.308553,wh-ngap,4
9,7.0375853,wh-ngap,4
10,7.510946,wh-ngap,4
1,9.060791,wh-gap,4
2,9.085353,wh-gap,4
3,7.938828,wh-gap,4
4,8.43895,wh-gap,4
5,12.08925,wh-gap,4
6,7.6331067,wh-gap,4
7,8.71384,wh-gap,4
8,11.06939,wh-gap,4
9,12.569501,wh-gap,4
10,10.598393,wh-gap,4
1,8.223541,nwh-ngap,4
2,7.6264234,nwh-ngap,4
3,7.402396,nwh-ngap,4
4,7.7129307,nwh-ngap,4
5,11.341634,nwh-ngap,4
6,6.65565,nwh-ngap,4
7,8.735742,nwh-ngap,4
8,8.4532795,nwh-ngap,4
9,7.6647954,nwh-ngap,4
10,6.981637,nwh-ngap,4
1,13.742294,nwh-gap,4
2,12.584868,nwh-gap,4
3,13.344201,nwh-gap,4
4,10.531506,nwh-gap,4
5,13.217227,nwh-gap,4
6,12.009981,nwh-gap,4
7,14.159174,nwh-gap,4
8,13.420979,nwh-gap,4
9,12.0934,nwh-gap,4
10,13.031455,nwh-gap,4
