Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
0.925968,V-pl,N-pl,3
2.3646896,V-sg,N-pl,3
3.5703568,V-pl,N-pl,3
1.4600167,V-sg,N-pl,3
4.741927,V-pl,N-pl,3
2.3199267,V-sg,N-pl,3
2.7026443,V-pl,N-pl,3
5.9000645,V-sg,N-pl,3
10.081659,V-pl,N-pl,3
5.374321,V-sg,N-pl,3
8.31714,V-pl,N-pl,3
1.9594736,V-sg,N-pl,3
3.016966,V-pl,N-pl,3
0.5764297,V-sg,N-pl,3
4.6007304,V-pl,N-pl,3
1.6307783,V-sg,N-pl,3
2.08197,V-pl,N-pl,3
1.4709711,V-sg,N-pl,3
4.6795235,V-pl,N-pl,3
3.5041537,V-sg,N-sg,3
3.4747434,V-pl,N-sg,3
4.0206127,V-sg,N-sg,3
3.2093775,V-pl,N-sg,3
4.558893,V-sg,N-sg,3
5.634844,V-pl,N-sg,3
3.1388335,V-sg,N-sg,3
4.8809986,V-pl,N-sg,3
6.202398,V-sg,N-sg,3
3.4252717,V-pl,N-sg,3
4.874791,V-sg,N-sg,3
5.0126085,V-pl,N-sg,3
2.6757824,V-sg,N-sg,3
8.217096,V-pl,N-sg,3
5.1689577,V-sg,N-sg,3
5.260491,V-pl,N-sg,3
2.6129408,V-sg,N-sg,3
5.5945477,V-pl,N-sg,3
3.5600216,V-sg,N-sg,3
5.649333,V-pl,N-sg,3
1.9611001,V-sg,N-sg,3
5.255352,V-pl,N-sg,3
3.5131056,V-sg,N-sg,3
7.5630083,V-pl,N-sg,3
4.156213,V-sg,N-sg,3
5.856422,V-pl,N-sg,3
3.089995,V-sg,N-sg,3
6.297848,V-pl,N-sg,3
3.5081816,V-sg,N-sg,3
9.922777,V-pl,N-sg,3
4.266889,V-sg,N-sg,3
7.902151,V-pl,N-sg,3
2.2918112,V-sg,N-sg,3
10.049225,V-pl,N-sg,3
2.7665894,V-sg,N-sg,3
5.798404,V-pl,N-sg,3
2.090304,V-sg,N-sg,3
6.831197,V-pl,N-sg,3
2.2986093,V-sg,N-sg,3
5.3447604,V-pl,N-sg,3
6.2044735,V-sg,N-pl,4
2.145859,V-pl,N-pl,4
6.7108846,V-sg,N-pl,4
3.7259152,V-pl,N-pl,4
4.1363974,V-sg,N-pl,4
5.707774,V-pl,N-pl,4
3.596452,V-sg,N-pl,4
5.681812,V-pl,N-pl,4
3.8148437,V-sg,N-pl,4
3.5106022,V-pl,N-pl,4
4.084127,V-sg,N-pl,4
5.6117344,V-pl,N-pl,4
2.938283,V-sg,N-pl,4
6.9816856,V-pl,N-pl,4
5.2291894,V-sg,N-pl,4
9.186109,V-pl,N-pl,4
4.6086774,V-sg,N-pl,4
8.511594,V-pl,N-pl,4
4.190489,V-sg,N-pl,4
8.907788,V-pl,N-pl,4
5.152609,V-sg,N-pl,4
8.425848,V-pl,N-pl,4
5.1796913,V-sg,N-pl,4
9.779074,V-pl,N-pl,4
3.6658964,V-sg,N-pl,4
4.496732,V-pl,N-pl,4
3.2976923,V-sg,N-pl,4
6.477704,V-pl,N-pl,4
3.9663043,V-sg,N-pl,4
7.3518915,V-pl,N-pl,4
6.617353,V-sg,N-pl,4
9.283893,V-pl,N-pl,4
3.5229106,V-sg,N-pl,4
8.061365,V-pl,N-pl,4
3.56208,V-sg,N-pl,4
6.684635,V-pl,N-pl,4
2.4261982,V-sg,N-pl,4
6.765494,V-pl,N-pl,4
3.3305082,V-sg,N-pl,4
6.3736434,V-pl,N-pl,4
3.308616,V-sg,N-sg,4
4.2484283,V-pl,N-sg,4
5.1016936,V-sg,N-sg,4
2.7578206,V-pl,N-sg,4
3.5955267,V-sg,N-sg,4
4.87554,V-pl,N-sg,4
4.620848,V-sg,N-sg,4
5.1303735,V-pl,N-sg,4
3.9560714,V-sg,N-sg,4
4.3680043,V-pl,N-sg,4
5.5158463,V-sg,N-sg,4
5.067167,V-pl,N-sg,4
3.4180424,V-sg,N-sg,4
7.229178,V-pl,N-sg,4
4.793971,V-sg,N-sg,4
9.591489,V-pl,N-sg,4
4.2854304,V-sg,N-sg,4
10.175035,V-pl,N-sg,4
5.2512245,V-sg,N-sg,4
10.294989,V-pl,N-sg,4
3.3444245,V-sg,N-sg,4
8.362961,V-pl,N-sg,4
3.999554,V-sg,N-sg,4
8.629073,V-pl,N-sg,4
5.003681,V-sg,N-sg,4
5.990157,V-pl,N-sg,4
3.135012,V-sg,N-sg,4
5.6071153,V-pl,N-sg,4
5.485068,V-sg,N-sg,4
9.475621,V-pl,N-sg,4
5.742803,V-sg,N-sg,4
10.12639,V-pl,N-sg,4
3.3978848,V-sg,N-sg,4
9.251404,V-pl,N-sg,4
5.9057894,V-sg,N-sg,4
11.434517,V-pl,N-sg,4
2.9313688,V-sg,N-sg,4
8.106523,V-pl,N-sg,4
4.0267396,V-sg,N-sg,4
8.537407,V-pl,N-sg,4
