Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
0.24307337,V-pl,N-pl,3
2.3944428,V-sg,N-pl,3
0.53301805,V-pl,N-pl,3
4.5980725,V-sg,N-pl,3
0.16707021,V-pl,N-pl,3
4.4370418,V-sg,N-pl,3
0.20815052,V-pl,N-pl,3
0.98793405,V-sg,N-pl,3
1.4852432,V-pl,N-pl,3
4.2763634,V-sg,N-pl,3
0.33940277,V-pl,N-pl,3
0.4648566,V-sg,N-pl,3
3.201417,V-pl,N-pl,3
4.410763,V-sg,N-pl,3
0.20482406,V-pl,N-pl,3
0.35908577,V-sg,N-pl,3
3.5146303,V-pl,N-pl,3
3.0866299,V-sg,N-pl,3
0.3579008,V-pl,N-pl,3
1.6287943,V-sg,N-pl,3
0.80669105,V-pl,N-pl,3
0.23985356,V-sg,N-sg,3
5.582152,V-pl,N-sg,3
0.50333285,V-sg,N-sg,3
4.953691,V-pl,N-sg,3
0.44026127,V-sg,N-sg,3
4.0847206,V-pl,N-sg,3
1.2198507,V-sg,N-sg,3
3.8923564,V-pl,N-sg,3
0.308518,V-sg,N-sg,3
5.3148355,V-pl,N-sg,3
0.613424,V-sg,N-sg,3
4.3364577,V-pl,N-sg,3
0.20860039,V-sg,N-sg,3
4.57016,V-pl,N-sg,3
0.32386214,V-sg,N-sg,3
4.617259,V-pl,N-sg,3
0.19982289,V-sg,N-sg,3
5.5226502,V-pl,N-sg,3
0.17264798,V-sg,N-sg,3
5.7331414,V-pl,N-sg,3
0.19210093,V-sg,N-sg,3
5.1847835,V-pl,N-sg,3
0.14778207,V-sg,N-sg,3
5.4099903,V-pl,N-sg,3
0.14306058,V-sg,N-sg,3
5.5954456,V-pl,N-sg,3
0.24683876,V-sg,N-sg,3
4.6907163,V-pl,N-sg,3
0.31213528,V-sg,N-sg,3
4.640124,V-pl,N-sg,3
0.5134808,V-sg,N-sg,3
3.9417253,V-pl,N-sg,3
0.15924695,V-sg,N-sg,3
5.624846,V-pl,N-sg,3
0.2654723,V-sg,N-sg,3
4.878284,V-pl,N-sg,3
0.13512167,V-sg,N-sg,3
5.498944,V-pl,N-sg,3
0.17023759,V-sg,N-sg,3
5.101898,V-pl,N-sg,3
4.585499,V-sg,N-pl,4
2.0245063,V-pl,N-pl,4
4.988469,V-sg,N-pl,4
1.9625326,V-pl,N-pl,4
4.797898,V-sg,N-pl,4
2.2469249,V-pl,N-pl,4
5.0153036,V-sg,N-pl,4
2.9407523,V-pl,N-pl,4
5.1437764,V-sg,N-pl,4
1.5324056,V-pl,N-pl,4
5.037502,V-sg,N-pl,4
1.5467484,V-pl,N-pl,4
2.6920507,V-sg,N-pl,4
2.3391366,V-pl,N-pl,4
4.2672534,V-sg,N-pl,4
3.9184105,V-pl,N-pl,4
3.0423892,V-sg,N-pl,4
2.7367291,V-pl,N-pl,4
3.0071437,V-sg,N-pl,4
2.5487247,V-pl,N-pl,4
2.702901,V-sg,N-pl,4
2.9438708,V-pl,N-pl,4
2.8550398,V-sg,N-pl,4
1.9569384,V-pl,N-pl,4
3.012071,V-sg,N-pl,4
2.5448585,V-pl,N-pl,4
2.4494915,V-sg,N-pl,4
2.5043745,V-pl,N-pl,4
3.5518792,V-sg,N-pl,4
2.3451314,V-pl,N-pl,4
2.626895,V-sg,N-pl,4
4.177144,V-pl,N-pl,4
2.8493423,V-sg,N-pl,4
1.9255959,V-pl,N-pl,4
2.7187698,V-sg,N-pl,4
4.3767853,V-pl,N-pl,4
2.2360327,V-sg,N-pl,4
2.2241344,V-pl,N-pl,4
1.8318241,V-sg,N-pl,4
3.1577318,V-pl,N-pl,4
1.2062957,V-sg,N-sg,4
3.6752057,V-pl,N-sg,4
1.4414916,V-sg,N-sg,4
3.6335769,V-pl,N-sg,4
2.6674755,V-sg,N-sg,4
3.559824,V-pl,N-sg,4
4.10611,V-sg,N-sg,4
4.176213,V-pl,N-sg,4
1.4210227,V-sg,N-sg,4
3.3798692,V-pl,N-sg,4
1.648911,V-sg,N-sg,4
3.2003486,V-pl,N-sg,4
1.9928161,V-sg,N-sg,4
3.9767172,V-pl,N-sg,4
3.4943585,V-sg,N-sg,4
4.7907653,V-pl,N-sg,4
1.437009,V-sg,N-sg,4
4.5797396,V-pl,N-sg,4
1.5975788,V-sg,N-sg,4
4.357601,V-pl,N-sg,4
1.6249096,V-sg,N-sg,4
4.490507,V-pl,N-sg,4
1.6655246,V-sg,N-sg,4
4.0064974,V-pl,N-sg,4
1.8439469,V-sg,N-sg,4
4.080298,V-pl,N-sg,4
2.3684223,V-sg,N-sg,4
4.355001,V-pl,N-sg,4
1.557103,V-sg,N-sg,4
4.3676434,V-pl,N-sg,4
2.4045267,V-sg,N-sg,4
4.588674,V-pl,N-sg,4
0.99272424,V-sg,N-sg,4
4.356698,V-pl,N-sg,4
2.8085022,V-sg,N-sg,4
4.664013,V-pl,N-sg,4
1.6924491,V-sg,N-sg,4
4.0788007,V-pl,N-sg,4
1.2832563,V-sg,N-sg,4
4.1161904,V-pl,N-sg,4
