Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
0.050151564,V-sg,N-pl,3
8.372083,V-pl,N-pl,3
0.06569075,V-sg,N-pl,3
7.0608444,V-pl,N-pl,3
0.09334598,V-sg,N-pl,3
7.610127,V-pl,N-pl,3
0.04634748,V-sg,N-pl,3
9.17705,V-pl,N-pl,3
0.06960545,V-sg,N-pl,3
8.737775,V-pl,N-pl,3
0.03999798,V-sg,N-pl,3
8.577464,V-pl,N-pl,3
0.064191006,V-sg,N-pl,3
8.806069,V-pl,N-pl,3
0.06663234,V-sg,N-pl,3
8.579011,V-pl,N-pl,3
0.063466474,V-sg,N-pl,3
8.039678,V-pl,N-pl,3
8.630651,V-sg,N-sg,3
1.9127228,V-pl,N-sg,3
9.055966,V-sg,N-sg,3
1.9671217,V-pl,N-sg,3
9.088122,V-sg,N-sg,3
1.2249501,V-pl,N-sg,3
7.97712,V-sg,N-sg,3
1.1784297,V-pl,N-sg,3
9.044729,V-sg,N-sg,3
2.3304079,V-pl,N-sg,3
9.332944,V-sg,N-sg,3
1.8988509,V-pl,N-sg,3
7.779895,V-sg,N-sg,3
0.08939762,V-pl,N-sg,3
9.591646,V-sg,N-sg,3
0.020446936,V-pl,N-sg,3
7.821847,V-sg,N-sg,3
0.10277559,V-pl,N-sg,3
9.072252,V-sg,N-sg,3
0.030807871,V-pl,N-sg,3
7.6051664,V-sg,N-sg,3
0.106491536,V-pl,N-sg,3
8.520354,V-sg,N-sg,3
0.041658808,V-pl,N-sg,3
7.7453594,V-sg,N-sg,3
0.09370142,V-pl,N-sg,3
7.89658,V-sg,N-sg,3
0.07426593,V-pl,N-sg,3
9.114004,V-sg,N-sg,3
0.05983626,V-pl,N-sg,3
8.904806,V-sg,N-sg,3
0.03589714,V-pl,N-sg,3
8.834593,V-sg,N-sg,3
0.073755495,V-pl,N-sg,3
8.455631,V-sg,N-sg,3
0.053817708,V-pl,N-sg,3
7.5732455,V-sg,N-sg,3
0.12699115,V-pl,N-sg,3
7.362061,V-sg,N-sg,3
0.09018316,V-pl,N-sg,3
0.13354813,V-sg,N-pl,4
9.603008,V-pl,N-pl,4
0.14246751,V-sg,N-pl,4
9.681792,V-pl,N-pl,4
0.12546547,V-sg,N-pl,4
9.984555,V-pl,N-pl,4
0.180249,V-sg,N-pl,4
9.589297,V-pl,N-pl,4
0.15464519,V-sg,N-pl,4
9.637828,V-pl,N-pl,4
0.19497068,V-sg,N-pl,4
9.445479,V-pl,N-pl,4
0.08664717,V-sg,N-pl,4
6.9722395,V-pl,N-pl,4
0.04010257,V-sg,N-pl,4
9.502166,V-pl,N-pl,4
0.061518572,V-sg,N-pl,4
8.266492,V-pl,N-pl,4
0.057885826,V-sg,N-pl,4
8.472688,V-pl,N-pl,4
0.11096642,V-sg,N-pl,4
7.343635,V-pl,N-pl,4
0.06859609,V-sg,N-pl,4
8.082036,V-pl,N-pl,4
0.0861202,V-sg,N-pl,4
7.2073784,V-pl,N-pl,4
0.08805921,V-sg,N-pl,4
7.2490234,V-pl,N-pl,4
0.06607635,V-sg,N-pl,4
9.0041485,V-pl,N-pl,4
0.0682951,V-sg,N-pl,4
8.73276,V-pl,N-pl,4
0.062869936,V-sg,N-pl,4
8.300678,V-pl,N-pl,4
0.06943139,V-sg,N-pl,4
8.458853,V-pl,N-pl,4
0.07211527,V-sg,N-pl,4
8.380366,V-pl,N-pl,4
0.07495642,V-sg,N-pl,4
7.9823103,V-pl,N-pl,4
8.088977,V-sg,N-sg,4
0.56292903,V-pl,N-sg,4
7.2219777,V-sg,N-sg,4
0.6966834,V-pl,N-sg,4
8.349346,V-sg,N-sg,4
0.8376645,V-pl,N-sg,4
7.246938,V-sg,N-sg,4
1.1652946,V-pl,N-sg,4
8.166271,V-sg,N-sg,4
0.7238347,V-pl,N-sg,4
7.2957144,V-sg,N-sg,4
0.77248824,V-pl,N-sg,4
7.7449427,V-sg,N-sg,4
